tache,index,prefix,ids,textes
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_4429 HDPAR-HD_rs_4430,"Moreto (Stephanus de) . || Moreto (Stephanus de) , C 495. — Moret : Seine-et-Marne, arr. Fontainebleau, chef-lieu de canton."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_2280 SMPA-AB-03_rs_2281 SMPA-AB-03_rs_2282,"Mareil (Jean de), écuyer, Jehan de Mareul. Johannes de Marolio , Saint-Magloire, tome III, acte 7 , note 3, Saint-Magloire, tome III, acte 17, Saint-M || Mareil (Jean de), seigneur de Mareil, Saint-Magloire, tome III, acte 327, note 3. || Mareil (Jean de), écuyer, Saint-Magloire, tome III, acte 351, note 1. — Voir aussi Bois de Mareil."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0708 SAPC-AB_rs_0709 SAPC-AB_rs_0711 SAPC-AB_rs_0712,"Margareta: Saint-Antoine-des-Champs, acte 231; v. Aleaumus Serviens, maritus ejus. || Margareta: Saint-Antoine-des-Champs, acte 306, 31 l; v. Guillelmus de Gleseria, pater ejus. || Margareta: Saint-Antoine-des-Champs, acte 306; v. Johannes Viarius, pater ejus. || Margareta: Saint-Antoine-des-Champs, acte 359; v.v. Nicholaus de Valle, maritus ejus."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0714 SAPC-AB_rs_0715 SAPC-AB_rs_0717 SAPC-AB_rs_0718,"Margarita: Saint-Antoine-des-Champs, acte 193, Saint-Antoine-des-Champs, acte 32; v. Droco de Monte Firmiolo, Adam, Johannes, fratres ejus, Agnes, sor || Margarita: Saint-Antoine-des-Champs, acte 170; v. Hugo de Aties, maritus ejus. || Margarita: Saint-Antoine-des-Champs, acte 32; v. Petrus de Beaumarches, maritus ejus. || Margarita: Saint-Antoine-des-Champs, acte 57, Saint-Antoine-des-Champs, acte 197; v. Symon de Bri, maritus ejus."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0723 SAPC-AB_rs_0724 SAPC-AB_rs_0725 SAPC-AB_rs_0726 SAPC-AB_rs_0727 SAPC-AB_rs_0728 SAPC-AB_rs_0729 SAPC-AB_rs_0730 SAPC-AB_rs_0731 SAPC-AB_rs_0733 SAPC-AB_rs_0735 SAPC-AB_rs_0737,"Maria: Saint-Antoine-des-Champs, acte 374; v. Alfonsus, comes Augi. || Maria: Saint-Antoine-des-Champs, acte 359, Saint-Antoine-des-Champs, acte 362; v. Baldoynus de Fossis, maritus ejus. || Maria: Saint-Antoine-des-Champs, acte 47; v. Constancia, mater ejus. || Maria: Saint-Antoine-des-Champs, acte 187, Saint-Antoine-des-Champs, acte 254; v. Galterus Ridoe, maritus ejus. || Maria: Saint-Antoine-des-Champs, acte 61; v. Gauffridus Godechaut, maritus ejus. || Maria: Saint-Antoine-des-Champs, acte 132; v. Guillelmus Barbette. || Maria: Saint-Antoine-des-Champs, acte 266; v. Guillelmus de Valle grignosa, maritus ejus. || Maria: Saint-Antoine-des-Champs, acte 366; v. Guillelmus li Oublayers. || Maria: Saint-Antoine-des-Champs, acte 273; v. Jean Defauz, maritus ejus. || Maria: Saint-Antoine-des-Champs, acte 187, Saint-Antoine-des-Champs, acte 209; v. Odo Saeborc, maritus ejus. || Maria: Saint-Antoine-des-Champs, acte 209; v. Richardus Charron, maritus ejus. || Maria: Saint-Antoine-des-Champs, acte 134; v. Robertus mortellerius, filius ejus."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0753 SAPC-AB_rs_0754,"Matildis: Saint-Antoine-des-Champs, acte 119; v. Ferricus de Escronis, maritus ejus. || Matildis: Saint-Antoine-des-Champs, acte 317; v. Petrus Prepositus de Campaniis, maritus ejus."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_2353 SMPA-AB-03_rs_2354,"Maugier (Jean), examinateur au Châtelet, Saint-Magloire, tome III, acte 358, note. || Maugier (Jean), notaire au Châtelet, Saint-Magloire, tome III, acte 265."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_2366 SMPA-AB-03_rs_2367,"May, aujourd’hui May-en-Multien, Seine-et-Marne, arr. de Meaux, cant. de Lizy-sur-Ourcq, Saint-Magloire, tome III, acte 54, note 1. || May (famille de), originaire du Multien, Saint-Magloire, tome III, acte 54 ; — (Denis de), panetier de Charles VI, capitaine du Vivier-en-Brie, note 1"
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_2437 SMPA-AB-03_rs_2438,"Moine (Jean le), tabellion, puis prévôt de Saint-Germain-en-Laye, Jehan le Moine, Saint-Magloire, tome III, acte 178, note 1. || Moine (Jean le), Jehan le Moingne, Saint-Magloire, tome III, acte 338, note 9."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_2462 SMPA-AB-03_rs_2464,"Montaigu, Aisne, arr. de Laon, cant. de Sissonne, Saint-Magloire, tome III, acte 44, note 1. || Montaigu (maître Gérard de), chanoine de Chartres, Reims, Châlons-sur-Marne, puis de Notre-Dame, avocat du roi au Parlement, conseiller de Saint-Maglo"
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_2465 SMPA-AB-03_rs_2469,"Montaigu (Jean de) ou Jean le Rouge, neveu de Gérard, conseiller, puis président au Parlement , Saint-Magloire, tome III, acte 44, note; — Isabelle la || Montaigu (Jean de), trésorier de France, Saint-Magloire, tome III, acte 356, note."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_2527 SMPA-AB-03_rs_2528,"Morise (Jean), mégissier à Paris, Saint-Magloire, tome III, acte 152, note 4. || Morise (Jean), de Versailles, Jehan Morise , Saint-Magloire, tome III, acte 237 note 2 ."
3,PERSONNES,SMPA-AB-02,SMPA-AB-02_rs_2159 SMPA-AB-02_rs_2160,"Munier (Guillaume le), Saint-Magloire, tome II, acte 355. || Munier (Guillaume le), Saint-Magloire, tome II, acte 288 ; — son moulin du Pont-aux-Meuniers, Saint-Magloire, tome II, acte 285, Saint-Magloire, tome "
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_4503 HDPAR-HD_rs_4504,"Nemore (Radulphus de), miles . || Nemore (Radulphus de), miles ."
3,PERSONNES,NDVC-AB,NDVC-AB_rs_3230 NDVC-AB_rs_3294,"Nicholaus, p., Vaux-de-Cernay, acte 13, Vaux-de-Cernay, acte 653. || Nicholaus, t.ii, p. , Vaux-de-Cernay, acte 396."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_4607 HDPAR-HD_rs_4608,"Normannus (Johannes) , C 488. || Normannus (Johannes) ."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0826 SAPC-AB_rs_0827,"Odelina: Saint-Antoine-des-Champs, acte 336; v. Johannes de Nemore, frater ejus. || Odelina: Saint-Antoine-des-Champs, acte 370; v. Robertus, maritus ejus, Adam piscinarius, filius ejus."
3,PERSONNES,SMPA-AB-01,SMPA-AB-01_rs_1675 SMPA-AB-01_rs_1676,"Odo, Saint-Magloire, tome I, acte 16. || Odo, Saint-Magloire, tome I, acte 29."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0829 SAPC-AB_rs_0830,"Odo: Saint-Antoine-des-Champs, acte 141, Saint-Antoine-des-Champs, acte 144; v. Ferricus Briart, pater ejus. || Odo: Saint-Antoine-des-Champs, acte 248; v. Johannes de Semevilla, frater ejus."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_4682 HDPAR-HD_rs_4683,"Odo, archidiaconus in ecclesia Parisiensi . || Odo, archidiaconus in ecclesia Parisiensi ."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_4719 HDPAR-HD_rs_4720,"Odo de Vere Magno, miles . || Odo de Vere Magno, miles ."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_2653 SMPA-AB-03_rs_2654,"Origny (Jehan d’), potier de terre, Saint-Magloire, tome III, acte 251, Saint-Magloire, tome III, acte 308. || Origny (Jehan d’), Saint-Magloire, tome III, acte 346, Saint-Magloire, tome III, acte 347, Saint-Magloire, tome III, acte 348."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_5181 HDPAR-HD_rs_5182,"Pelliparius (Richardus) . || Pelliparius (Richardus), C 490."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_5191 HDPAR-HD_rs_5192,"Periers (Philippus de) . || Periers (Philippus de), C 473."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_5217 HDPAR-HD_rs_5218,"Petra Lata (Guido de) . || Petra Lata (Guido de) . — Pierrelaye : Seine-et-Oise, arr. et cant. Pontoise."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_5265 HDPAR-HD_rs_5266,"Petrus, clericus . || Petrus, clericus ."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_5341 HDPAR-HD_rs_5342,Petrus de Charenton . || Petrus de Charenton .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_5495 HDPAR-HD_rs_5496,"Philippus de Periers . || Philippus de Periers, C 473."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_2752 SMPA-AB-03_rs_2753 SMPA-AB-03_rs_2754,"Paris (Jean de), boursier, parent d’Henri de Paris (?) , Saint-Magloire, tome III, acte 123, note 3. || Paris (Jean de), prieur des Blancs-Manteaux, Saint-Magloire, tome III, acte 44, note. || Paris (Jean de), procureur de Haute-Bruyère, Saint-Magloire, tome III, acte 34, note 1."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0865 SAPC-AB_rs_0866 SAPC-AB_rs_0867 SAPC-AB_rs_0868 SAPC-AB_rs_0871,"Petronilla: Saint-Antoine-des-Champs, acte 276. || Petronilla: Saint-Antoine-des-Champs, acte 54; v. Ansellus de Granchia, maritus ejus. || Petronilla: Saint-Antoine-des-Champs, acte 3; v. Henricus de Vitriaco, maritus ejus. || Petronilla: Saint-Antoine-des-Champs, acte 101; v. Hervis Poquet, maritus ejus. || Petronilla: Saint-Antoine-des-Champs, acte 206; v. Rogerus de Mosterolo, filius ejus."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0878 SAPC-AB_rs_0879 SAPC-AB_rs_0880,"Petrus: Saint-Antoine-des-Champs, acte 18; v. Johannes Aurelianensis, sororius ejus. || Petrus: Saint-Antoine-des-Champs, acte 85; v. Philippus de Lices, frater ejus. || Petrus: Saint-Antoine-des-Champs, acte 92; v. Stephanus Beroudus, pater ejus, Ada, mater ejus, Stephanus et Guillelmus, fratres ejus."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_2887 SMPA-AB-03_rs_2889,"Pizdoe (Guillaume), écuyer de Philippe le Long, Guillaume Pizdoe, l’écuyer , Saint-Magloire, tome III, acte 49 note 1 ; — Jeanne, sa veuve, note 1. || Pizdoe (Guillaume), possesseur d’un jardin à Charonne, Saint-Magloire, tome III, acte 193 ; — Jehanne, sa veuve ."
3,PERSONNES,NDVC-AB,NDVC-AB_rs_3665 NDVC-AB_rs_3670,"Ponte (Johannes de), t.ii, p., Vaux-de-Cernay, acte 29 . || Ponte (Johannes de) t.ii, p., Vaux-de-Cernay, acte 24."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3025 SMPA-AB-03_rs_3026,"Preux (André le), commissaire au Châtelet, Andry le Preu , Saint-Magloire, tome III, acte 246 . || Preux (André le), notaire au Châtelet , Saint-Magloire, tome III, acte 363 , Saint-Magloire, tome III, acte 373."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3029 SMPA-AB-03_rs_3031,"Prevost, Saint-Magloire, tome III, acte 184. || Prevost (maître Pierre), official de Paris, Saint-Magloire, tome III, acte 123, note."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_5740 HDPAR-HD_rs_5741,Radulphus de Compendio . || Radulphus de Compendio .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_5746 HDPAR-HD_rs_5747,"Radulphus de Nemore, miles . || Radulphus de Nemore, miles ."
3,PERSONNES,SMPO-AB,SMPO-AB_rs_1298 SMPO-AB_rs_1299,"Raoul, prieur . || Raoul, prieur ."
3,PERSONNES,NDVC-AB,NDVC-AB_rs_3843 NDVC-AB_rs_3847,"Reginaldus, decanus Sancti Marcelli. || Reginaldus, decanus Sancti Marcelli, p., Vaux-de-Cernay, acte 19, Vaux-de-Cernay, acte 57, Vaux-de-Cernay, acte 67 , Vaux-de-Cernay, acte 89, Vaux-de-"
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_5915 HDPAR-HD_rs_5916,"Richardus Pelliparius . || Richardus Pelliparius, C 490."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0988 SAPC-AB_rs_0989,"Richeudis: Saint-Antoine-des-Champs, acte 212; v. Robertus Erardi, frater ejus, Ernulphus Brandart, maritus ejus, Johannes, filius ejus, Ysabellis, fi || Richeudis: Saint-Antoine-des-Champs, acte 212, Saint-Antoine-des-Champs, acte 264 ; v. Galterus de Villariis, maritus ejus."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_5943 HDPAR-HD_rs_5944,"Robertus, abbas Sancti Victoris . || Robertus, abbas Sancti Victoris ."
3,PERSONNES,SMPA-AB-01,SMPA-AB-01_rs_2095 SMPA-AB-01_rs_2096,"Rotbertus, monachus [Sancti Maglorii], Saint-Magloire, tome I, acte 34. || Rotbertus, monachus [Sancti Maglorii], Saint-Magloire, tome I, acte 16."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0997 SAPC-AB_rs_0998,"Robertus: Saint-Antoine-des-Champs, acte 52, Saint-Antoine-des-Champs, acte 84, Saint-Antoine-des-Champs, acte 182, Saint-Antoine-des-Champs, acte 195 || Robertus: Saint-Antoine-des-Champs, acte 370; v. Odelina, uxor ejus."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3209 SMPA-AB-03_rs_3210 SMPA-AB-03_rs_3211 SMPA-AB-03_rs_3212,"Rozay (Jean de), prévôt, puis abbé de Saint-Magloire, Jehan, Jehans de Rosay ou Rosoy, Saint-Magloire, tome III, acte 1, note 4, note 5, Saint-Magloir || Rozay (Jean de), familier et peut-être parent de l’abbé Jean de Rozay, prieur de Sainte-Croix de Briis, puis de Saint-Julien de Versailles, chambrier  || Rozay (Jean de), prieur de Chalifert, probablement neveu du précédent, Johannes de Roseto , Saint-Magloire, tome III, acte 255. || Rozay (Jean de), l’aîné, bourgeois de Paris, Jehan de Rosay, Saint-Magloire, tome III, acte 57, Saint-Magloire, tome III, acte 186, note 1; — Jeanne, "
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3261 SMPA-AB-03_rs_3263,"Saint-Benoît (Jacques de), bourgeois de Paris, Jacques de Saint-Benoît , Saint-Magloire, tome III, acte 133 , Saint-Magloire, tome III, acte 172 ; — ( || Saint-Benoît (Jacques de), Saint-Magloire, tome III, acte 272, note 1."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3268 SMPA-AB-03_rs_3269,"Saint-Benoît (Simon de), drapier, bourgeois de Paris, Simon de Saint Benoist, Symon de Saint Beneoit, Symon de Saint Benoît , Saint-Magloire, tome III || Saint-Benoît (Simon de), curateur des petits-enfants de Jean Rigaut, seigneur de Versailles, Saint-Magloire, tome III, acte 75, note."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_6254 HDPAR-HD_rs_6255,Sancto Marcello (Henricus de) . || Sancto Marcello (Henricus de) .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_6345 HDPAR-HD_rs_6346,Scotus (Guillelmus) . || Scotus (Guillelmus) .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_6473 HDPAR-HD_rs_6474,"Stephanus, archidiaconus in ecclesia Parisiensi , C 476. || Stephanus, archidiaconus in ecclesia Parisiensi ."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_6508 HDPAR-HD_rs_6509,"Stephanus de Moreto . || Stephanus de Moreto , C 495."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3335 SMPA-AB-03_rs_3340,"Saint-Laurent (chaussée), aujourd’hui rue du faubourg Saint-Martin, Paris, 10e arr., chaucee ou chausee de Saint Laurens, Saint Lorens, Saint-Magloire || Saint-Laurent (maître Geoffroy de), bourgeois de Paris, conseiller de Saint-Magloire, Saint-Magloire, tome III, acte 109, note 2, Saint-Magloire, tome"
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3341 SMPA-AB-03_rs_3342,"Saint-Laurent (Jean de), orfèvre, Saint-Magloire, tome III, acte 255, note 7. || Saint-Laurent (Jean de), moine, pitancier, cenier de Saint-Magloire, prieur de Montfort-l’Amaury, administrateur de l’abbaye pendant la vacance du siè"
3,PERSONNES,NDVC-AB,NDVC-AB_rs_4062 NDVC-AB_rs_4100,"Sancto, (Johannes de), p., Vaux-de-Cernay, acte 31. || Sancto, (Johannes de), p., Vaux-de-Cernay, acte 275."
3,PERSONNES,NDVC-AB,NDVC-AB_rs_4077 NDVC-AB_rs_4083,"Sancto, (Petrus de), p., Vaux-de-Cernay, acte 102 . || Sancto, (Petrus de), p., Vaux-de-Cernay, acte 365, Vaux-de-Cernay, acte 470 , Vaux-de-Cernay, acte 484, Vaux-de-Cernay, acte 491 ."
3,PERSONNES,NDVC-AB,NDVC-AB_rs_4073 NDVC-AB_rs_4078,"Sancto, (Robertus de), p., Vaux-de-Cernay, acte 474. || Sancto, (Robertus de), p., Vaux-de-Cernay, acte 99 ."
3,PERSONNES,NDVC-AB,NDVC-AB_rs_4129 NDVC-AB_rs_4130,"Sarnaio, (Odo de), p., Vaux-de-Cernay, acte 37. || Sarnaio, (Odo de), p., Vaux-de-Cernay, acte 206 ; t.ii, p. Vaux-de-Cernay, acte 24."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3485 SMPA-AB-03_rs_3486,"Sauvage (Jean), bailli de Montfort-l’Amaury, Jehan Sauvaige, Saint-Magloire, tome III, acte 374. || Sauvage (Jean), tabellion de la prévôté de Saint-Germain, Saint-Magloire, tome III, acte 178, note 1."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_1095 SAPC-AB_rs_1096,"Sedilia: Saint-Antoine-des-Champs, acte 270, Saint-Antoine-des-Champs, acte 277; v. Johannes Harpin, maritus ejus. || Sedilia: Saint-Antoine-des-Champs, acte 265; v. Guillelmus de Roseto, maritus ejus."
3,PERSONNES,NDVC-AB,NDVC-AB_rs_4222 NDVC-AB_rs_4223,"Soisiaco, (Guido de), p., Vaux-de-Cernay, acte 29. || Soisiaco, (Guido de), p., Vaux-de-Cernay, acte 393."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_1128 SAPC-AB_rs_1129,"Stephanus: Saint-Antoine-des-Champs, acte 51; v. Philippus de Sancto Paulo, frater ejus. || Stephanus: Saint-Antoine-des-Champs, acte 244; v. Stephanus de Sacro Cesaris, pater ejus."
3,PERSONNES,SMPA-EG,SMPA-EG_rs_2170 SMPA-EG_rs_2169,"Temple. || Temple, Saint-Merry de Paris, acte 9 ."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3618 SMPA-AB-03_rs_3619,"Testart (Jehan), boucher, Saint-Magloire, tome III, acte 284. || Testart (Jehan), notaire au Châtelet , Saint-Magloire, tome III, acte 87 ."
3,PERSONNES,SMPO-AB,SMPO-AB_rs_1549 SMPO-AB_rs_1550,Thierry de Montmorency . || Thierry de Montmorency .
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3710 SMPA-AB-03_rs_3711,"Tuillières (Jean de), avocat au Châtelet, maire de Saint-Magloire, Saint-Magloire, tome III, acte 261, note 1. || Tuillières (Jean de), examinateur au Châtelet, Jehan de Tuillieres , Saint-Magloire, tome III, acte 237 , n. dors. ."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3764 SMPA-AB-03_rs_3765,"Vaux (Gobert de), gardien de Saint-Magloire, Saint-Magloire, tome III, acte 1 note 1, note 6, Saint-Magloire, tome III, acte 178, note 1 || Vaux (Gobert de), prêtre, garde du Chapuis , Saint-Magloire, tome III, acte 64, note 6."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_6920 HDPAR-HD_rs_6921 HDPAR-HD_rs_6922,Vere Magno (Gaufridus de) . || Vere Magno (Gaufridus de) . || Vere Magno (Gaufridus de) .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_6924 HDPAR-HD_rs_6925,"Vere Magno (Guillelmus de), miles . || Vere Magno (Guillelmus de), miles ."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_6928 HDPAR-HD_rs_6929,"Vere Magno (Odo de), miles . || Vere Magno (Odo de), miles ."
3,PERSONNES,SMPA-AB-01,SMPA-AB-01_rs_2536_5 SMPA-AB-01_rs_2537_3,"Versailles four, Saint-Magloire, tome I, acte 51 || Versailles four, Saint-Magloire, tome I, acte 159"
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_7002 HDPAR-HD_rs_7003,Villa Nova (Andreas de) . || Villa Nova (Andreas de) .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_7062 HDPAR-HD_rs_7063,Viriaco (Guillelmus de) . || Viriaco (Guillelmus de) .
3,PERSONNES,NDPA-EG-04,NDPA-EG-04_rs_7419 NDPA-EG-04_rs_7431,"Viriaco (Robertus de), Notre-Dame de Paris, t. 1, acte 394. || Viriaco (Robertus de). Notre-Dame de Paris, t. 2, acte 557."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3896 SMPA-AB-03_rs_3897 SMPA-AB-03_rs_3898,"Voisin (Jean), changeur, bourgeois de Paris, Jehan Voisin l’aisné, Saint-Magloire, tome III, acte 59, Saint-Magloire, tome III, acte 119, note 1, note || Voisin (Jean), fermier du Chapuis demeurant aux Écrennes , Saint-Magloire, tome III, acte 64, note 1 note 1, Saint-Magloire, tome III, acte 149, Saint || Voisin (Jean), des Écrennes, Saint-Magloire, tome III, acte 177, note 2."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_3917 SMPA-AB-03_rs_3918,"Ymbert, laïc, Ymberto layco, Saint-Magloire, tome III, acte 338, note 1. || Ymbert, notaire au Châtelet, Saint-Magloire, tome III, acte 179."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_1245 SAPC-AB_rs_1246 SAPC-AB_rs_1248 SAPC-AB_rs_1249 SAPC-AB_rs_1250 SAPC-AB_rs_1251,"Ysabellis: Saint-Antoine-des-Champs, acte 306; v. Guillelmus Poletarius. || Ysabellis: Saint-Antoine-des-Champs, acte 299; v. Henricus de Cristolio, maritus ejus. || Ysabellis: Saint-Antoine-des-Champs, acte 306; v. Johannes Viarius, pater ejus. || Ysabellis: Saint-Antoine-des-Champs, acte 145; v. Philippus de Lices, uxor ejus. || Ysabellis: Saint-Antoine-des-Champs, acte 229; v. Richeudis, mater ejus, Johannes, frater ejus. || Ysabellis: Saint-Antoine-des-Champs, acte 28; v. Theoboldus de Gravia."
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_0210 SMPA-AB-03_rs_0211,"Bagnolet, Seine, arr. de Saint-Denis, cant. de Pantin, Saint-Magloire, tome III, acte 300 ; — chemin de Charonne à Bagnolet, Saint-Magloire, tome III, || Bagnolet (rue de), Paris, 20e arr., Saint-Magloire, tome III, acte 265, note 2."
3,LIEUX,NDPA-EG-04,NDPA-EG-04_rs_0456 NDPA-EG-04_rs_0533,"Basiliacum. Notre-Dame de Paris, t. 2, acte 164. || Basiliacum. Vide Baliseyum."
3,LIEUX,NDCH-EG,NDCH-EG_rs_0163 NDCH-EG_rs_0164,"Bellus-Mons; Belmontus, Notre-Dame de Chartres, acte 8 . Beaumont, hameau, commune de Chuisnes, canton de Courville; arrondissement de Chartres; chef- || Bellus-Mons, Notre-Dame de Chartres, acte 270 . Beaumont, hameau, aujourd'hui détruit, commune de Cloyes, arrondissement de Châteaudun; chef-lieu d'un"
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_0446 SMPA-AB-03_rs_0447,"Bois des coutumes (le), des habitants des Mesnuls et hameaux voisins, Boys des Coustumes, Coustumes , Saint-Magloire, tome III, acte 327 . || Bois des coutumes (le), à Montfort-l’Amaury, plus tard la vente Bizet, puis les Grandes Coutumes et enfin la plaine de Montfort , Saint-Magloire, tome"
3,LIEUX,NDCH-EG,NDCH-EG_rs_0300 NDCH-EG_rs_0301,"Britiniacum; Bretigniacum; Briteniacum; Britigniacum, Notre-Dame de Chartres, acte 33; Notre-Dame de Chartres, acte 385 . Brétigny, moulin, aujourd'hu || Britiniacum, Notre-Dame de Chartres, acte 8 . Brétigny, village, commune de Sours, canton de Chartres-Sud."
3,LIEUX,NDPA-EG-04,NDPA-EG-04_rs_0841 NDPA-EG-04_rs_1060,"Burdineium. Notre-Dame de Paris, t. 1, acte 105. || Burdineium. Vide Bordoniacum."
3,LIEUX,NDPA-EG-04,NDPA-EG-04_rs_1387 NDPA-EG-04_rs_1391,"Castrum Festucæ. Notre-Dame de Paris, t. 3, acte 55, Notre-Dame de Paris, t. 3, acte 369. || Castrum Festucæ. Vide Castellum Festucæ."
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_0819 SMPA-AB-03_rs_0820 SMPA-AB-03_rs_0821 SMPA-AB-03_rs_0822 SMPA-AB-03_rs_0825,"Chapuis (Le), ancien hameau de Machault, auj. de Pamfou, Chapuis, Chappuis, Chapuys en Brie, en Brye. || Chapuis (Le), seigneurie de Saint-Magloire , Saint-Magloire, tome III, acte 63, Saint-Magloire, tome III, acte 64 note 1, note 3, et note 1 ; — manoir || Chapuis (Le), fermiers de Saint-Magloire , Saint-Magloire, tome III, acte 166, Saint-Magloire, tome III, acte 177, Saint-Magloire, tome III, acte 220, || Chapuis (Le), fiefs; de Gilles Grange, Saint-Magloire, tome III, acte 63, note 1; de Jean de Machault, Saint-Magloire, tome III, acte 64, note 1; voir || Chapuis (Le), mesure, Saint-Magloire, tome III, acte 354 ; — moulin, Saint-Magloire, tome III, acte 142 ; — poulailler édifié par Jean de Rozay , Sain"
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_0846 SMPA-AB-03_rs_0847,"Charonne, Village , Saint-Magloire, tome III, acte 193, Saint-Magloire, tome III, acte 52, note, Saint-Magloire, tome III, acte 265, Saint-Magloire, t || Charonne, Seigneurie de Saint-Magloire, Saint-Magloire, tome III, acte 259; hôtel seigneurial, Saint-Magloire, tome III, acte 227; — mairie, Saint-Mag"
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_0934 SMPA-AB-03_rs_0935,"Cheval Rouge (maison du), rue Mondétour Saint-Magloire, tome III, acte 56. || Cheval Rouge (maison du), rue Saint-Denis, Saint-Magloire, tome III, acte 56, note 1 note 1, Saint-Magloire, tome III, acte 59 note 3, Saint-Magloire,"
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_0975 SMPA-AB-03_rs_0976,"Clef (maison ou hôtel de la), rue Saint-Denis, ostel de la Clef, Saint-Magloire, tome III, acte 176, Saint-Magloire, tome III, acte 191. || Clef (ostel de la), contigu à l’arrière de la maison de la Rose sise rue aux Ours, Saint-Magloire, tome III, acte 187, Saint-Magloire, tome III, acte "
3,LIEUX,NDCH-EG,NDCH-EG_rs_0985 NDCH-EG_rs_0986,"Hauvilla; Halsvilla, Notre-Dame de Chartres, acte 12 . Hauville, chef-lieu de commune, canton de Routot, arrondissement de Pont-Audemer (Eure). || Hauvilla; Alta-Villa; Houvilla, Notre-Dame de Chartres, acte 90 . Hauville, village, commune de Bailleau-le-Pin, canton d'Illiers, arrondissement de C"
3,LIEUX,NDCH-EG,NDCH-EG_rs_0999 NDCH-EG_rs_1002,"Hervilla; Hervevilla; Herville, Notre-Dame de Chartres, acte 143, Notre-Dame de Chartres, acte 345 . Harville, village, communes de Bailleau-le-Pin, d || Hervilla. Voir Harlevilla."
