tache,index,prefix,ids,textes
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0216 SMPA-AB-03_rs_0217,"Baillet (Jehan), Saint-Magloire, tome III, acte 83. || Baillet (Jehan), sergent à verge du Châtelet, Saint-Magloire, tome III, acte 49."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0241 SMPA-AB-03_rs_0242,"Barbier (Perrin le), de Saint-Léger-en-Yvelines, Saint-Magloire, tome III, acte 91. || Barbier (Perrin le), Saint-Magloire, tome III, acte 271, Saint-Magloire, tome III, acte 275."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0138 SAPC-AB_rs_0139 SAPC-AB_rs_0140,"Bartholomeus: Saint-Antoine-des-Champs, acte 199; v. Aalicia Thesauraria, mater ejus. || Bartholomeus: Saint-Antoine-des-Champs, acte 189; v. Guillermus Foot, pater ejus, Basilia, mater ejus. || Bartholomeus: Saint-Antoine-des-Champs, acte 216; v. Jocelinus Cerviciarius, frater ejus."
3,PERSONNES,SCOR-EG,SCOR-EG_rs_0321 SCOR-EG_rs_0322 SCOR-EG_rs_0323,"Bartholomeus, p. Sainte-Croix d'Orléans, acte 75. || Bartholomeus, p. Sainte-Croix d'Orléans, acte 72. || Bartholomeus, p. Sainte-Croix d'Orléans, acte 45."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0142 SAPC-AB_rs_0143 SAPC-AB_rs_0144 SAPC-AB_rs_0145,"Basilia: Saint-Antoine-des-Champs, acte 152; v. Gaufridus de Bri, maritus ejus. || Basilia: Saint-Antoine-des-Champs, acte 215; v. Guido de Sarcella, maritus ejus. || Basilia: Saint-Antoine-des-Champs, acte 288; v. Guillelmus Pavonis, marituts ejus. || Basilia: Saint-Antoine-des-Champs, acte 189; v. Guillermus Foot, maritus ejus, Bartholomeus, filius eorum."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0325 SMPA-AB-03_rs_0326,"Benoist (Jehan), pelletier, Saint-Magloire, tome III, acte 131, n. dors. || Benoist (Jehan), Saint-Magloire, tome III, acte 137."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0397 SMPA-AB-03_rs_0398,"Blanchet (maître Hugues), secrétaire du roi, Saint-Magloire, tome III, acte 272. || Blanchet (maître Jean), procureur au Châtelet, Saint-Magloire, tome III, acte 56, note 2."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0413 SMPA-AB-03_rs_0414,"Blondeau ou Blondel (Jean), de Machault, Saint-Magloire, tome III, acte 49, note 8. || Blondeau ou Blondel (Simon), hôte de Saint-Magloire à Villiers, Symon Blondiau , Saint-Magloire, tome III, acte 64 note 2 , note 8."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0456 SMPA-AB-03_rs_0457,"Boisseau (Jehan), Saint-Magloire, tome III, acte 346. || Boisseau (Jehan), sergent de Saint-Magloire, Saint-Magloire, tome III, acte 360."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_0914 HDPAR-HD_rs_0915,"Boucelli (Jacobus) . || Boucelli (Jacobus), C 479."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0591 SMPA-AB-03_rs_0594 SMPA-AB-03_rs_0595,"Bretagne, Bretaigne || Bretagne (Jean IV, duc de), comte de Montfort, Jehan de Bretaingne, conte de Monffort, conte de Montfort, syrez de Rays et conte de Richemont, Saint-M || Bretagne (Jean V, duc de), Saint-Magloire, tome III, acte 327, note 1 ."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0599 SMPA-AB-03_rs_0600,"Breton (Guillaume le), chanoine de Saint-Marcel, Saint-Magloire, tome III, acte 33, note 3. || Breton (Guillaume le), Saint-Magloire, tome III, acte 167, Saint-Magloire, tome III, acte 168, Saint-Magloire, tome III, acte 200."
3,PERSONNES,NDVC-AB,NDVC-AB_rs_0844 NDVC-AB_rs_0846,"Busco, Herbertus de, p.. || Busco, Herbertus de, p., Vaux-de-Cernay, acte 24."
3,PERSONNES,NDVC-AB,NDVC-AB_rs_0845 NDVC-AB_rs_0847,"Busco, (Hugo de), p., Vaux-de-Cernay, acte 24. || Busco, (Hugo de), p., Vaux-de-Cernay, acte 26."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_1156 HDPAR-HD_rs_1157,Castelleto (Hubertus de) . || Castelleto (Hubertus de) .
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0774 SMPA-AB-03_rs_0775,"Champs (Adam des), pelletier, Saint-Magloire, tome III, acte 165, Saint-Magloire, tome III, acte 176, Saint-Magloire, tome III, acte 212, note 1; — Gu || Champs (Adam des), clerc de la chambre des comptes, gendre de Jean Rapiout, Saint-Magloire, tome III, acte 272, note 3."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0794 SMPA-AB-03_rs_0795,"Chantecler (famille), de Morsang-sur-Orge , Saint-Magloire, tome III, acte 152 note, note 1 . || Chantecler (Jean Ier), fermier de Saint-Magloire , Saint-Magloire, tome III, acte 152 note , note 1, note 2, note 2, note 1, note 7, Saint-Magloire, t"
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0796 SMPA-AB-03_rs_0798,"Chantecler (Jeannin) devenu Jean Chantecler le Jeune ou peut-être Jean II, fils du précédent , Saint-Magloire, tome III, acte 152 note 6 note 3, note  || Chantecler (Jeannin), le plus jeune, 3e fils de Jean Ier, Saint-Magloire, tome III, acte 152, note 3."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_1249 HDPAR-HD_rs_1250,"Charenton (Petrus de) . || Charenton (Petrus de) . — Seine, arr. Sceaux, chef-lieu de canton."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_1534 HDPAR-HD_rs_1535,"Corbolio (Johannes de) . || Corbolio (Johannes de), C 490."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_1617 HDPAR-HD_rs_1618,Cruce (Guillelmus de) . || Cruce (Guillelmus de) .
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1026 SMPA-AB-03_rs_1027,"Compans (Jean de), orfèvre, bourgeois de Paris, Jehan de Compans , Saint-Magloire, tome III, acte 133 , Saint-Magloire, tome III, acte 172 ; — Jeanne, || Compans (Jean de), orfèvre, Saint-Magloire, tome III, acte 266, note 3."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1034 SMPA-AB-03_rs_1037,"Condé, aujourd’hui Condé-sur-Vesgre, Yvelines, arr. de Mantes-la-Jolie, cant. de Dourdan || Condé (maître Pierre de), clerc du roi, Saint-Magloire, tome III, acte 56, note 2."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1112 SMPA-AB-03_rs_1113,"Courtois (Jean), Saint-Magloire, tome III, acte 56, note 1. || Courtois (Jean), sergent à cheval, Jehan Courtois, Saint-Magloire, tome III, acte 126 ; — Jehanne la Marquize, sa femme ."
